Team_i,Team_j,home_i,home_j,score_i,score_j,date,
germany,england,0,0,1,0,7-Mar-17,
united states,france,1,0,0,3,7-Mar-17,
argentina,south korea,0,0,0,5,27-Feb-19,
australia,new zealand,1,0,2,0,28-Feb-19,
argentina,new zealand,0,0,0,2,2-Mar-19,
australia,south korea,1,0,4,1,3-Mar-19,
south korea,new zealand,0,0,2,0,5-Mar-19,
australia,argentina,1,0,3,0,6-Mar-19,
netherlands,norway,1,0,1,0,16 July 2017,
denmark,belgium,0,0,1,0,16 July 2017,
norway,belgium,0,0,0,2,20 July 2017,
netherlands,denmark,1,0,1,0,20 July 2017,
belgium,netherlands,0,1,1,2,24 July 2017,
norway,denmark,0,0,0,1,24 July 2017,
italy,russia,0,0,1,2,17 July 2017,
germany,sweden,0,0,0,0,17 July 2017,
sweden,russia,0,0,2,0,21 July 2017,
germany,italy,0,0,2,1,21 July 2017,
russia,germany,0,0,0,2,25 July 2017,
sweden,italy,0,0,2,3,25 July 2017,
austria,switzerland,0,0,1,0,18 July 2017,
france,iceland,0,0,1,0,18 July 2017,
iceland,switzerland,0,0,1,2,22 July 2017,
france,austria,0,0,1,1,22 July 2017,
switzerland,france,0,0,1,1,26 July 2017,
iceland,austria,0,0,0,3,26 July 2017,
spain,portugal,0,0,2,0,19 July 2017,
england,scotland,0,0,6,0,19 July 2017,
scotland,portugal,0,0,1,2,23 July 2017,
england,spain,0,0,2,0,23 July 2017,
portugal,england,0,0,1,2,27 July 2017,
scotland,spain,0,0,1,0,27 July 2017,
netherlands,sweden,1,0,2,0,29 July 2017,
germany,denmark,0,0,1,2,30 July 2017,
austria,spain,0,0,0,0,30 July 2017,
england,france,0,0,1,0,30 July 2017,
denmark,austria,0,0,0,0,3 August 2017,
netherlands,england,1,0,3,0,3 August 2017,
netherlands,denmark,1,0,4,2,6 August 2017,
