address,living_area,plot_size,price,rooms,url
Admiralengracht 75 -2 1057 ER Amsterdam,71,,"€ 399,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40081383-admiralengracht-75-2/?navigateSource=resultlist
Hoofdweg 398 bg 1056 DE Amsterdam,82,,"€ 500,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40081723-hoofdweg-398-bg/?navigateSource=resultlist
Houtmankade 33 -D 1013 MR Amsterdam,73,,"€ 399,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40081677-houtmankade-33-d/?navigateSource=resultlist
President Kennedylaan 6 -2 1079 NB Amsterdam,69,,"€ 400,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/appartement-40081453-president-kennedylaan-6-2/?navigateSource=resultlist
Charlotte Brontéstraat 30 1102 XE Amsterdam,71,,"€ 249,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40080285-charlotte-brontestraat-30/?navigateSource=resultlist
Westerdoksdijk 567 1013 BX Amsterdam,155,,"€ 1,200,000 k.k.",5,https://www.funda.nl/en/koop/amsterdam/appartement-40088240-westerdoksdijk-567/?navigateSource=resultlist
Burgemeester Hogguerstraat 951 1064 EE Amsterdam,92,,"€ 350,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/appartement-40088249-burgemeester-hogguerstraat-951/?navigateSource=resultlist
Groen van Prinstererstraat 2 hs 1051 EE Amsterdam,63,,"€ 350,000 k.k.",2,https://www.funda.nl/en/koop/amsterdam/appartement-40088767-groen-van-prinstererstraat-2-hs/?navigateSource=resultlist
Noordzijde 267 1064 ME Amsterdam,60,,"€ 250,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40088439-noordzijde-267/?navigateSource=resultlist
Leeuwendalersweg 596 1061 BH Amsterdam,94,,"€ 420,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40087328-leeuwendalersweg-596/?navigateSource=resultlist
Oudezijds Voorburgwal 109 G 1012 EM Amsterdam,81,,"€ 550,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40087392-oudezijds-voorburgwal-109-g/?navigateSource=resultlist
Wildenborch 7 1082 KB Amsterdam,119,,"€ 599,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/appartement-40087470-wildenborch-7/?navigateSource=resultlist
Van der Palmkade 189 1051 RK Amsterdam,93,,"€ 590,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40086148-van-der-palmkade-189/?navigateSource=resultlist
Osdorper Ban 90 A 35 1068 MK Amsterdam,63,,"€ 260,000 k.k.",2,https://www.funda.nl/en/koop/amsterdam/appartement-40086657-osdorper-ban-90-a-35/?navigateSource=resultlist
