,address,living_area,price,rooms,url
102,Hoofdweg 398 bg 1056 DE Amsterdam,82.0,500.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40081723-hoofdweg-398-bg/?navigateSource=resultlist
103,Houtmankade 33 -D 1013 MR Amsterdam,73.0,399.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40081677-houtmankade-33-d/?navigateSource=resultlist
104,President Kennedylaan 6 -2 1079 NB Amsterdam,69.0,400.0,4.0,https://www.funda.nl/en/koop/amsterdam/appartement-40081453-president-kennedylaan-6-2/?navigateSource=resultlist
105,Charlotte Brontéstraat 30 1102 XE Amsterdam,71.0,249.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40080285-charlotte-brontestraat-30/?navigateSource=resultlist
106,Westerdoksdijk 567 1013 BX Amsterdam,155.0,1200.0,5.0,https://www.funda.nl/en/koop/amsterdam/appartement-40088240-westerdoksdijk-567/?navigateSource=resultlist
107,Burgemeester Hogguerstraat 951 1064 EE Amsterdam,92.0,350.0,4.0,https://www.funda.nl/en/koop/amsterdam/appartement-40088249-burgemeester-hogguerstraat-951/?navigateSource=resultlist
108,Groen van Prinstererstraat 2 hs 1051 EE Amsterdam,63.0,350.0,2.0,https://www.funda.nl/en/koop/amsterdam/appartement-40088767-groen-van-prinstererstraat-2-hs/?navigateSource=resultlist
109,Noordzijde 267 1064 ME Amsterdam,60.0,250.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40088439-noordzijde-267/?navigateSource=resultlist
110,Leeuwendalersweg 596 1061 BH Amsterdam,94.0,420.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40087328-leeuwendalersweg-596/?navigateSource=resultlist
111,Oudezijds Voorburgwal 109 G 1012 EM Amsterdam,81.0,550.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40087392-oudezijds-voorburgwal-109-g/?navigateSource=resultlist
112,Wildenborch 7 1082 KB Amsterdam,119.0,599.0,4.0,https://www.funda.nl/en/koop/amsterdam/appartement-40087470-wildenborch-7/?navigateSource=resultlist
113,Van der Palmkade 189 1051 RK Amsterdam,93.0,590.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40086148-van-der-palmkade-189/?navigateSource=resultlist
114,Osdorper Ban 90 A 35 1068 MK Amsterdam,63.0,260.0,2.0,https://www.funda.nl/en/koop/amsterdam/appartement-40086657-osdorper-ban-90-a-35/?navigateSource=resultlist
115,Beethovenstraat 11 -III 1077 HL Amsterdam,192.0,1250.0,8.0,https://www.funda.nl/en/koop/amsterdam/appartement-40085192-beethovenstraat-11-iii/?navigateSource=resultlist
116,Prins Hendrikkade 106 b 1011 AJ Amsterdam,137.0,699.5,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40085446-prins-hendrikkade-106-b/?navigateSource=resultlist
117,Hermanus Coenradistraat 10 hs 1063 XS Amsterdam,68.0,295.0,4.0,https://www.funda.nl/en/koop/amsterdam/appartement-40074735-hermanus-coenradistraat-10-hs/?navigateSource=resultlist
118,Baarsjesweg 272 IV 1058 AD Amsterdam,73.0,435.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40074402-baarsjesweg-272-iv/?navigateSource=resultlist
119,Johann Keplerstraat 77 -boven 1098 HK Amsterdam,117.0,650.0,4.0,https://www.funda.nl/en/koop/amsterdam/appartement-40074488-johann-keplerstraat-77-boven/?navigateSource=resultlist
120,Jan van Galenstraat 227 -III 1056 BW Amsterdam,60.0,345.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40073456-jan-van-galenstraat-227-iii/?navigateSource=resultlist
121,Ploegstraat 181 1097 WE Amsterdam,81.0,399.0,4.0,https://www.funda.nl/en/koop/amsterdam/appartement-40071152-ploegstraat-181/?navigateSource=resultlist
122,Antillenstraat 21 -2 1058 GX Amsterdam,60.0,375.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40071007-antillenstraat-21-2/?navigateSource=resultlist
123,Circusplein 31 1033 ZG Amsterdam,69.0,250.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40070035-circusplein-31/?navigateSource=resultlist
124,Hoofdweg 92 -H 1058 BE Amsterdam,48.0,325.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40079296-hoofdweg-92-h/?navigateSource=resultlist
125,Jan van Zutphenstraat 609 1069 RS Amsterdam,125.0,425.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40078333-jan-van-zutphenstraat-609/?navigateSource=resultlist
126,Linnaeushof 9 huis 1098 KH Amsterdam,93.0,650.0,4.0,https://www.funda.nl/en/koop/amsterdam/appartement-40076527-linnaeushof-9-huis/?navigateSource=resultlist
127,Saskia van Uijlenburgkade 102 1058 GA Amsterdam,82.0,495.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-86430036-saskia-van-uijlenburgkade-102/?navigateSource=resultlist
128,Oudezijds Voorburgwal 316 D 1012 GM Amsterdam,86.0,595.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40075258-oudezijds-voorburgwal-316-d/?navigateSource=resultlist
129,Elckerlijcstraat 18 HS 1055 AN Amsterdam,111.0,595.0,4.0,https://www.funda.nl/en/koop/amsterdam/appartement-40075665-elckerlijcstraat-18-hs/?navigateSource=resultlist
130,Laurierstraat 65 -C 1016 PJ Amsterdam,49.0,375.0,2.0,https://www.funda.nl/en/koop/amsterdam/appartement-40075505-laurierstraat-65-c/?navigateSource=resultlist
131,Nieuwpoortstraat 86 -B1 1055 RZ Amsterdam,69.0,395.0,2.0,https://www.funda.nl/en/koop/amsterdam/appartement-40064594-nieuwpoortstraat-86-b1/?navigateSource=resultlist
132,Van Spilbergenstraat 160 -1 1057 RP Amsterdam,63.0,375.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40062073-van-spilbergenstraat-160-1/?navigateSource=resultlist
133,Eerste Jan Steenstraat 133 -huis 1072 NJ Amsterdam,69.0,485.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40058073-eerste-jan-steenstraat-133-huis/?navigateSource=resultlist
134,Eva Besnyöstraat 359 1087 LG Amsterdam,83.0,345.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-86308956-eva-besnyostraat-359/?navigateSource=resultlist
135,Johannes van der Waalsstraat 83 hs 1098 PH Amsterdam,84.0,625.0,4.0,https://www.funda.nl/en/koop/amsterdam/appartement-40910647-johannes-van-der-waalsstraat-83-hs/?navigateSource=resultlist
136,Aalsmeerweg 112 HS 1059 AR Amsterdam,89.0,600.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40915464-aalsmeerweg-112-hs/?navigateSource=resultlist
137,Paulus Potterstraat 28 II 1071 DA Amsterdam,273.0,1950.0,6.0,https://www.funda.nl/en/koop/amsterdam/appartement-40908050-paulus-potterstraat-28-ii/?navigateSource=resultlist
138,Leidsegracht 82 N 1016 CR Amsterdam,98.0,555.0,2.0,https://www.funda.nl/en/koop/amsterdam/appartement-40908073-leidsegracht-82-n/?navigateSource=resultlist
